country,total_quantity,total_value
Bangladesh,7578132,490897450
India,3219412,249071571
Vietnam,2488060,278528117
China,1780172,118261104
Indonesia,1247334,131551017
Sri Lanka,631732,72025436
Nicaragua,309431,51382499
Honduras,264559,49604994
Madagascar,248424,29133699
Cambodia,218418,20710505
Mexico,212434,42775246
Kenya,195024,13662645
Ethiopia,170999,12515186
Turkey,164181,30623930
Thailand,139891,25443526
Italy,114668,48221883
Pakistan,114424,6554373
Egypt,78820,7499473
Jordan,70856,7393013
Burma (Myanmar),69849,9759057
Mauritius,64520,16223126
El Salvador,35302,2531509
Portugal,34124,12194916
Haiti,32188,2459225
Morocco,30413,5518931
Dominican Republic,23793,3382516
Peru,23312,2759859
France,22734,4995060
Tunisia,19296,5302843
Romania,14813,6663796
Nepal,13604,990420
Philippines,10688,2173363
Guatemala,9798,1013841
South Korea,8192,1989534
Japan,5549,3317819
Colombia,5482,863788
Hong Kong,5328,1366556
Sweden,4741,586932
United Kingdom,4396,2428821
Poland,3172,1879157
Canada,2738,1905796
Albania,2258,1096946
Laos,2109,348595
Liberia,2104,277421
Netherlands,2035,48710
Estonia,1889,1048150
Bulgaria,1838,716606
North Macedonia,1581,645619
Brunei,1564,230924
Taiwan,1414,157783
Lithuania,1267,575738
Spain,1242,450630
Fiji,1179,91433
Switzerland,1155,832641
Chile,1118,624500
Ecuador,717,76486
Kuwait,607,19650
Australia,590,107233
Germany,580,163912
Panama,450,67913
Hungary,398,234344
Brazil,366,61995
Slovakia,262,74265
Zimbabwe,255,26351
Nigeria,224,4301
Ghana,154,13928
Senegal,145,11149
Uzbekistan,132,25088
Serbia,131,74671
United Arab Emirates,127,24990
Czech Republic,121,39337
Belgium,103,65189
Greece,83,14957
South Africa,78,32383
Croatia,66,5114
Singapore,59,10123
Tanzania,57,2198
Afghanistan,54,7654
Maldive Islands,42,1823
Latvia,39,27414
Saudi Arabia,39,4351
Burundi,36,3528
Armenia,30,2608
Denmark,30,12791
New Zealand,30,8711
Malaysia,27,10341
Moldova,27,10879
Israel,22,4851
Ireland,20,2968
Austria,18,17715
Togo,12,935
Slovenia,11,4739
Ukraine,11,5362
Mali,8,500
Yemen,6,320
Cayman Islands,4,750
Macau,4,453
Eritrea,3,338
Federated States of Mic,3,2544
Finland,3,7685
Gabon,3,1344
Mauritania,3,332
Sierra Leone,2,667
Argentina,1,414
Bahamas,1,979
French Indian Ocean Areas,1,907
Georgia,1,251
Malta,1,353
Norway,1,533
Paraguay,1,639
Rwanda,1,312
Venezuela,1,333
